stock_id,Date,Open,High,Low,Close,Volume
8,16/04/2024 16:00:00,60.75,62.25,60.75,61.75,3519122
8,17/04/2024 16:00:00,62.1,62.1,60.77,61.37,3312222
8,18/04/2024 16:00:00,61.21,62.13,60.54,61.06,8468407
8,19/04/2024 16:00:00,56.79,57.9,55.22,55.5,16449699
8,22/04/2024 16:00:00,55.07,55.86,54.2,55.46,8597651
8,23/04/2024 16:00:00,55.65,57.92,55.53,57.78,4975520
8,24/04/2024 16:00:00,57.43,57.69,55.13,55.51,5355312
8,25/04/2024 16:00:00,54.95,56.65,54.57,56.48,3807101
8,26/04/2024 16:00:00,55.82,56.29,55.32,56.12,4332593
8,29/04/2024 16:00:00,55.92,55.96,55.42,55.95,2508882
8,30/04/2024 16:00:00,56,56,54.94,55.06,3361492
8,01/05/2024 16:00:00,54.78,56.04,54.43,55.17,3473233
8,02/05/2024 16:00:00,55.6,56.55,55.56,56.52,3068228
8,03/05/2024 16:00:00,56.6,58.03,56.52,57.93,3307524
8,06/05/2024 16:00:00,58.18,59.73,58.03,59.7,3686337
8,07/05/2024 16:00:00,59.63,60.61,59.13,60.6,3614092
8,08/05/2024 16:00:00,60.16,61.82,60.16,60.95,3093904
8,09/05/2024 16:00:00,61.44,61.57,60.58,61.21,2065375
8,10/05/2024 16:00:00,61.9,62.4,60.51,61.09,2653586
8,13/05/2024 16:00:00,61.43,61.82,60.68,61.66,2086197
8,14/05/2024 16:00:00,61.52,62.15,60.84,61.37,2792358
8,15/05/2024 16:00:00,61.86,62.41,60.91,61.35,5670607
8,16/05/2024 16:00:00,61.58,61.83,60.91,61.05,3056350
8,17/05/2024 16:00:00,61.7,62.58,61.47,62.11,3782708
8,20/05/2024 16:00:00,62.04,64.44,61.95,64.08,3857853
8,21/05/2024 16:00:00,63.68,65.09,63.42,65.06,2920155
8,22/05/2024 16:00:00,64.71,64.93,63.81,64.05,2176174
8,23/05/2024 16:00:00,64.23,64.27,63,63.57,2313939
8,24/05/2024 16:00:00,63.94,65.2,63.76,64.68,2615260
8,28/05/2024 16:00:00,64.71,64.97,64.3,64.9,2609451
8,29/05/2024 16:00:00,64.41,66.43,64.39,65.46,3695935
8,30/05/2024 16:00:00,65.35,65.65,64.47,64.77,2393354
8,31/05/2024 16:00:00,64.4,64.86,62.83,64.16,4071023
8,03/06/2024 16:00:00,64.52,64.68,62.73,63.38,2323506
8,04/06/2024 16:00:00,63.38,63.52,62.64,63.16,3008151
8,05/06/2024 16:00:00,63.4,65.13,62.83,65.03,2682614
